date,lat,latd,long,longd,depth,mag
2017-02-21 07:21:00,39.67,N,42.65,E,10.0,2.0
2017-02-21 07:03:00,6.35,S,147.7,E,43.0,4.6
2017-02-21 06:55:00,18.81,N,68.57,W,179.0,3.8
2017-02-21 05:58:00,23.65,S,69.07,W,87.0,3.6
2017-02-21 05:58:00,35.99,N,30.93,E,8.0,2.2
2017-02-21 05:25:00,40.76,N,20.69,E,8.0,2.5
2017-02-21 04:48:00,15.99,N,98.86,W,16.0,4.0
2017-02-21 04:43:00,25.42,N,122.1,E,266.0,4.2
2017-02-21 04:13:00,35.52,N,23.08,E,16.0,2.0
2017-02-21 02:26:00,20.51,S,178.3,W,549.0,4.8
2017-02-21 01:40:00,38.78,N,27.73,E,6.0,2.1
2017-02-21 01:27:00,19.84,N,108.5,W,10.0,4.1
2017-02-21 01:20:00,38.06,N,26.83,E,6.0,2.3
2017-02-21 01:11:00,37.97,N,122.3,W,9.0,2.3
2017-02-21 01:01:00,38.82,N,122.7,W,1.0,2.0
2017-02-21 00:57:00,38.8,N,122.7,W,1.0,4.2
2017-02-21 00:29:00,37.32,N,8.52,W,6.0,2.0
2017-02-21 00:26:00,42.37,N,1.41,E,2.0,2.6
2017-02-21 00:08:00,20.79,S,70.65,W,54.0,3.6
2017-02-21 00:07:00,26.17,S,68.41,W,125.0,4.0
2017-02-21 00:05:00,39.59,N,26.16,E,7.0,2.3
2017-02-20 23:57:00,38.76,N,27.72,E,4.0,2.1
2017-02-20 23:55:00,14.84,S,176.5,W,10.0,5.4
2017-02-20 23:26:00,36.68,N,9.73,W,17.0,2.1
2017-02-20 23:19:00,39.52,N,26.03,E,10.0,2.0
2017-02-20 23:03:00,39.9,N,119.0,W,10.0,2.3
2017-02-20 22:50:00,33.25,N,138.0,E,300.0,4.2
2017-02-20 22:48:00,39.52,N,26.03,E,10.0,2.9
2017-02-20 22:47:00,39.52,N,26.04,E,10.0,2.2
2017-02-20 22:15:00,49.33,N,120.4,W,0.0,2.2
2017-02-20 22:11:00,22.03,S,68.63,W,120.0,3.3
2017-02-20 22:05:00,15.91,N,98.88,W,15.0,4.3
2017-02-20 21:49:00,39.19,N,38.72,E,2.0,2.1
2017-02-20 21:39:00,39.57,N,26.11,E,7.0,2.0
2017-02-20 21:20:00,15.97,N,98.87,W,12.0,4.3
2017-02-20 20:59:00,31.49,N,116.9,W,5.0,2.6
2017-02-20 20:44:00,16.87,N,98.51,W,16.0,4.1
2017-02-20 20:37:00,15.95,N,98.82,W,10.0,4.2
2017-02-20 20:07:00,17.32,N,101.4,W,16.0,4.0
2017-02-20 19:41:00,37.65,N,26.97,E,8.0,2.7
2017-02-20 19:35:00,8.27,N,79.24,W,10.0,4.7
2017-02-20 19:34:00,19.39,N,155.2,W,2.0,2.3
2017-02-20 19:33:00,39.52,N,26.04,E,7.0,2.3
2017-02-20 19:28:00,18.18,N,67.67,W,142.0,2.4
2017-02-20 19:27:00,8.25,S,118.5,E,12.0,4.4
2017-02-20 19:25:00,55.48,N,163.6,E,10.0,4.9
2017-02-20 19:22:00,39.52,N,119.7,W,4.0,2.6
2017-02-20 19:07:00,15.95,N,98.85,W,10.0,4.3
2017-02-20 18:35:00,31.43,S,70.14,W,146.0,3.3
2017-02-20 18:31:00,43.21,S,74.32,W,9.0,3.6
2017-02-20 18:28:00,44.98,N,150.4,E,29.0,4.4
2017-02-20 18:24:00,39.52,N,26.06,E,10.0,2.3
2017-02-20 18:19:00,16.59,N,98.53,W,20.0,4.2
2017-02-20 17:56:00,65.26,N,149.9,W,13.0,3.6
2017-02-20 17:49:00,39.53,N,26.06,E,14.0,2.0
2017-02-20 17:48:00,39.53,N,26.05,E,12.0,2.1
2017-02-20 17:42:00,7.79,N,72.66,W,4.0,3.5
2017-02-20 17:03:00,43.49,N,0.63,W,12.0,3.6
2017-02-20 16:28:00,39.52,N,26.07,E,12.0,2.2
2017-02-20 16:26:00,2.46,S,12.28,W,10.0,4.6
2017-02-20 16:17:00,62.43,N,139.1,W,5.0,3.7
2017-02-20 16:17:00,39.53,N,26.02,E,10.0,2.2
2017-02-20 16:12:00,39.52,N,26.19,E,6.0,2.1
2017-02-20 16:08:00,39.25,N,28.09,E,8.0,2.2
2017-02-20 15:52:00,39.53,N,26.21,E,10.0,2.1
2017-02-20 15:48:00,39.52,N,26.12,E,8.0,2.4
2017-02-20 15:47:00,36.54,N,45.3,E,10.0,3.6
2017-02-20 15:42:00,40.52,N,31.93,E,20.0,2.4
2017-02-20 15:10:00,39.5,N,26.1,E,12.0,2.1
2017-02-20 15:08:00,16.13,N,92.49,W,61.0,4.0
2017-02-20 14:59:00,5.07,S,153.6,E,50.0,5.0
2017-02-20 14:46:00,38.7,N,15.92,E,54.0,3.0
2017-02-20 14:40:00,40.22,N,27.69,E,8.0,2.6
2017-02-20 14:21:00,35.92,N,120.4,W,5.0,2.3
2017-02-20 14:14:00,39.37,N,20.57,E,1.0,2.0
2017-02-20 13:53:00,35.99,N,96.81,W,4.0,2.6
2017-02-20 13:36:00,49.53,N,0.54,W,0.0,3.0
2017-02-20 13:29:00,37.52,S,73.72,W,30.0,4.3
2017-02-20 13:20:00,39.9,N,33.08,E,4.0,2.0
2017-02-20 13:12:00,36.76,N,7.37,W,41.0,3.4
2017-02-20 13:12:00,37.13,N,22.93,E,17.0,3.0
2017-02-20 13:03:00,36.65,N,28.13,E,5.0,2.2
2017-02-20 12:20:00,39.6,N,26.13,E,6.0,2.4
2017-02-20 12:02:00,47.74,N,7.77,E,2.0,1.5
2017-02-20 11:59:00,16.07,N,94.02,W,97.0,4.1
2017-02-20 11:09:00,42.33,N,1.34,E,2.0,3.6
2017-02-20 10:49:00,16.1,N,97.59,W,29.0,3.7
2017-02-20 10:46:00,7.02,S,125.8,E,530.0,4.4
2017-02-20 10:40:00,15.26,N,93.72,W,54.0,3.8
2017-02-20 10:27:00,36.76,N,3.27,E,10.0,3.7
2017-02-20 10:22:00,39.58,N,26.14,E,6.0,2.3
2017-02-20 10:18:00,30.15,S,72.09,W,10.0,4.0
2017-02-20 09:54:00,16.58,N,98.43,W,8.0,3.7
2017-02-20 09:47:00,21.27,S,68.78,W,118.0,3.1
2017-02-20 09:39:00,38.77,N,27.64,E,2.0,2.7
2017-02-20 09:16:00,20.01,N,155.5,W,39.0,2.1
2017-02-20 08:58:00,39.68,N,29.39,E,8.0,2.1
2017-02-20 08:50:00,39.41,N,28.13,E,5.0,2.3
2017-02-20 08:47:00,37.44,N,118.8,W,1.0,2.3
2017-02-20 08:36:00,16.51,N,98.53,W,20.0,3.7
2017-02-20 08:29:00,20.07,N,156.0,W,38.0,2.4
2017-02-20 08:27:00,33.9,N,118.9,W,0.0,2.2
2017-02-20 08:10:00,17.57,N,95.18,W,109.0,3.6
2017-02-20 08:08:00,14.72,N,92.97,W,47.0,3.7
2017-02-20 07:53:00,37.52,S,179.2,E,30.0,5.0
2017-02-20 07:51:00,37.69,N,15.09,E,1.0,2.7
2017-02-20 07:45:00,5.19,S,74.9,W,20.0,5.3
2017-02-20 07:44:00,39.51,N,26.04,E,6.0,2.3
2017-02-20 07:44:00,30.49,N,9.64,W,20.0,4.0
2017-02-20 07:41:00,5.57,N,74.07,W,109.0,3.4
2017-02-20 07:35:00,38.68,N,38.03,E,5.0,2.3
2017-02-20 07:27:00,15.87,N,93.44,W,104.0,3.8
2017-02-20 07:18:00,47.87,N,114.2,W,3.0,3.4
2017-02-20 07:12:00,18.23,N,67.42,W,29.0,3.0
2017-02-20 07:03:00,39.6,N,26.13,E,10.0,2.1
2017-02-20 07:00:00,39.5,N,26.05,E,8.0,2.3
2017-02-20 06:56:00,42.33,N,1.32,E,2.0,2.9
2017-02-20 06:44:00,16.52,N,100.0,W,5.0,3.9
2017-02-20 06:35:00,39.59,N,26.17,E,10.0,2.9
2017-02-20 06:31:00,35.99,N,27.62,E,2.0,2.9
2017-02-20 06:14:00,7.2,S,113.0,E,10.0,3.7
2017-02-20 06:10:00,2.38,N,95.25,E,10.0,5.0
2017-02-20 06:00:00,35.09,N,117.0,W,2.0,2.0
2017-02-20 05:48:00,40.81,N,30.69,E,21.0,2.1
2017-02-20 05:46:00,24.18,S,67.28,W,225.0,3.4
2017-02-20 05:43:00,38.84,N,22.24,E,10.0,2.3
2017-02-20 05:32:00,6.55,N,77.62,W,2.0,2.8
2017-02-20 05:31:00,37.19,N,20.82,E,7.0,2.6
2017-02-20 05:23:00,39.24,N,16.48,E,10.0,2.7
2017-02-20 05:18:00,21.53,S,178.8,W,545.0,4.5
2017-02-20 05:05:00,30.67,N,114.3,W,10.0,3.2
2017-02-20 05:00:00,39.53,N,26.15,E,12.0,2.0
2017-02-20 04:39:00,37.55,N,23.55,E,10.0,2.0
2017-02-20 04:28:00,16.84,N,99.96,W,5.0,3.4
2017-02-20 04:23:00,39.47,N,26.23,E,6.0,2.0
2017-02-20 04:06:00,36.59,N,98.56,W,5.0,2.7
2017-02-20 03:56:00,11.56,S,166.2,E,51.0,5.0
2017-02-20 03:51:00,16.42,N,98.43,W,2.0,3.4
2017-02-20 03:50:00,14.86,N,92.91,W,83.0,3.6
2017-02-20 03:45:00,19.25,N,68.66,W,120.0,2.7
